transaction_id,date,time,description,payee,amount,channel
TXN-B-0023,2024-01-21,16:58:29,Routine payment,FreshMart,46.32,UPI
TXN-B-0026,2024-01-21,19:25:41,Routine payment,PetroStop,40.0,UPI
TXN-B-0027,2024-01-22,13:54:43,Routine payment,Property_Mgmt,50.0,card
TXN-B-0028,2024-01-22,18:45:56,Routine payment,StreamFlix,20.0,card
TXN-B-0029,2024-01-24,16:02:39,Routine payment,Property_Mgmt,54.15,UPI
TXN-B-0030,2024-01-24,18:43:58,Routine payment,City_Power,62.41,card
TXN-B-0031,2024-01-25,19:05:27,Routine payment,City_Power,50.2,UPI
TXN-B-0033,2024-01-26,10:44:19,Routine payment,Urban_Eats,46.03,UPI
TXN-B-0034,2024-01-26,13:50:03,Routine payment,FreshMart,80.0,card
TXN-B-0032,2024-01-26,18:45:55,Routine payment,Property_Mgmt,71.8,UPI
TXN-B-0035,2024-01-28,13:27:09,Routine payment,StreamFlix,20.0,UPI
TXN-B-0036,2024-01-30,14:36:43,Routine payment,PetroStop,40.0,UPI
TXN-B-0037,2024-01-31,10:05:39,Routine payment,City_Power,35.0,card
TXN-B-0039,2024-02-01,15:40:16,Routine payment,City_Power,46.65,card
TXN-B-0038,2024-02-01,18:15:31,Routine payment,PetroStop,57.24,UPI
TXN-B-0040,2024-02-02,18:00:57,Routine payment,StreamFlix,20.0,card
TXN-B-0041,2024-02-02,18:34:10,Routine payment,StreamFlix,20.0,UPI
TXN-B-0043,2024-02-03,12:29:54,Routine payment,MediCare,37.3,card
TXN-B-0042,2024-02-03,13:37:19,Routine payment,Urban_Eats,48.91,card
TXN-B-0045,2024-02-04,14:36:22,Routine payment,City_Power,43.3,card
TXN-B-0044,2024-02-04,14:54:30,Routine payment,City_Power,35.0,UPI
TXN-B-0047,2024-02-05,08:36:55,Routine payment,StreamFlix,20.0,UPI
TXN-B-0046,2024-02-05,12:01:53,Routine payment,MediCare,45.0,card
TXN-B-0048,2024-02-06,19:31:53,Routine payment,PetroStop,40.0,card
TXN-B-0049,2024-02-06,20:14:38,Routine payment,Property_Mgmt,52.6,card
TXN-B-0050,2024-02-08,18:12:39,Routine payment,City_Power,55.78,card
TXN-B-0051,2024-02-10,20:46:49,Routine payment,MediCare,36.74,UPI
TXN-B-0052,2024-02-14,09:57:40,Routine payment,MediCare,45.0,UPI
TXN-B-0053,2024-02-14,20:28:02,Routine payment,StreamFlix,20.0,card
TXN-B-0054,2024-02-15,10:05:58,Routine payment,MediCare,32.86,card
TXN-B-0055,2024-02-17,19:26:11,Routine payment,StreamFlix,20.0,UPI
TXN-B-0056,2024-02-17,20:34:56,Routine payment,City_Power,58.41,card
TXN-B-0057,2024-02-18,16:58:17,Routine payment,PetroStop,66.25,UPI
TXN-B-0058,2024-02-19,21:30:51,Routine payment,StreamFlix,20.0,card
TXN-B-0060,2024-02-20,09:09:48,Routine payment,Urban_Eats,35.93,UPI
TXN-B-0061,2024-02-20,18:46:43,Routine payment,Property_Mgmt,57.73,card
TXN-B-0062,2024-02-20,20:35:23,Routine payment,Property_Mgmt,57.71,UPI
TXN-B-0059,2024-02-20,21:21:51,Routine payment,MediCare,29.33,UPI
TXN-B-0064,2024-02-22,13:43:47,Routine payment,Urban_Eats,55.0,card
TXN-B-0063,2024-02-22,14:00:16,Routine payment,Property_Mgmt,57.73,UPI
TXN-B-0065,2024-02-23,14:52:40,Routine payment,PetroStop,58.56,card
TXN-B-0066,2024-02-23,18:14:30,Routine payment,FreshMart,67.03,UPI
TXN-B-0068,2024-02-24,09:40:52,Routine payment,MediCare,45.0,card
TXN-B-0069,2024-02-24,12:41:26,Routine payment,MediCare,45.0,UPI
TXN-B-0067,2024-02-24,16:20:58,Routine payment,PetroStop,64.31,UPI
TXN-B-0070,2024-02-25,08:02:19,Routine payment,City_Power,61.38,card
TXN-B-0071,2024-02-27,09:15:56,Routine payment,FreshMart,38.41,UPI
TXN-B-0072,2024-02-28,15:23:42,Routine payment,Urban_Eats,46.45,card
TXN-B-0073,2024-02-28,19:46:09,Routine payment,PetroStop,42.72,card
TXN-B-0075,2024-02-29,08:44:23,Routine payment,StreamFlix,20.0,UPI
TXN-B-0074,2024-02-29,09:53:31,Routine payment,MediCare,45.0,card
TXN-B-0076,2024-03-01,15:15:54,Routine payment,Urban_Eats,21.99,card
TXN-B-0077,2024-03-01,18:23:34,Routine payment,FreshMart,60.29,card
TXN-B-0078,2024-03-02,14:17:12,Routine payment,FreshMart,25.81,UPI
TXN-B-0079,2024-03-02,21:29:05,Routine payment,Property_Mgmt,50.0,UPI
TXN-B-0080,2024-03-03,18:38:01,Routine payment,MediCare,45.0,UPI
TXN-B-0083,2024-03-04,11:52:55,Routine payment,PetroStop,40.0,UPI
TXN-B-0081,2024-03-04,13:15:08,Routine payment,Property_Mgmt,50.96,UPI
TXN-B-0082,2024-03-04,21:48:35,Routine payment,FreshMart,33.83,UPI
TXN-B-0084,2024-03-05,20:09:50,Routine payment,StreamFlix,20.0,UPI
TXN-B-0085,2024-03-06,21:09:08,Routine payment,StreamFlix,20.0,card
TXN-B-0087,2024-03-08,08:22:50,Routine payment,City_Power,50.68,UPI
TXN-B-0086,2024-03-08,10:07:42,Routine payment,Property_Mgmt,53.25,UPI
TXN-B-0088,2024-03-09,13:01:11,Routine payment,PetroStop,40.23,card
TXN-B-0090,2024-03-10,09:30:28,Routine payment,MediCare,45.0,card
TXN-B-0089,2024-03-10,10:47:26,Routine payment,FreshMart,80.0,UPI
TXN-B-0091,2024-03-11,17:06:28,Routine payment,PetroStop,40.0,UPI
TXN-B-0092,2024-03-12,08:46:50,Routine payment,PetroStop,52.8,card
TXN-B-0093,2024-03-13,18:01:03,Routine payment,Urban_Eats,40.07,card
TXN-B-0096,2024-03-14,13:38:09,Routine payment,FreshMart,48.28,UPI
TXN-B-0094,2024-03-14,14:27:43,Routine payment,Property_Mgmt,62.79,UPI
TXN-B-0095,2024-03-14,19:58:28,Routine payment,Urban_Eats,38.11,UPI
TXN-B-0097,2024-03-15,12:39:40,Routine payment,City_Power,57.57,card
TXN-B-0098,2024-03-15,17:33:18,Routine payment,Urban_Eats,55.0,card
TXN-B-0101,2024-03-17,15:56:14,Routine payment,Urban_Eats,42.88,card
TXN-B-0099,2024-03-17,17:27:06,Routine payment,PetroStop,40.0,UPI
TXN-B-0100,2024-03-17,18:41:56,Routine payment,Property_Mgmt,50.0,UPI
TXN-B-0103,2024-03-18,09:20:27,Routine payment,MediCare,45.0,card
TXN-B-0102,2024-03-18,21:29:25,Routine payment,StreamFlix,20.0,card
TXN-B-0105,2024-03-19,09:53:05,Routine payment,FreshMart,31.09,UPI
TXN-B-0104,2024-03-19,12:23:09,Routine payment,MediCare,45.0,card
TXN-B-0106,2024-03-21,09:47:47,Routine payment,Urban_Eats,55.0,card
TXN-B-0107,2024-03-23,10:35:03,Routine payment,Property_Mgmt,81.83,card
TXN-B-0108,2024-03-24,09:26:22,Routine payment,MediCare,45.0,card
TXN-B-0109,2024-03-24,19:03:18,Routine payment,Property_Mgmt,50.0,card
TXN-B-0110,2024-03-25,09:36:32,Routine payment,StreamFlix,20.0,UPI
TXN-B-0111,2024-03-25,18:30:14,Routine payment,City_Power,69.0,UPI
TXN-B-0113,2024-03-28,12:36:14,Routine payment,Property_Mgmt,56.66,card
TXN-B-0112,2024-03-28,21:35:23,Routine payment,StreamFlix,20.0,UPI
TXN-B-0114,2024-03-31,16:49:52,Routine payment,Property_Mgmt,61.62,UPI
TXN-B-0116,2024-04-01,10:17:44,Routine payment,FreshMart,49.11,card
TXN-B-0115,2024-04-01,18:53:44,Routine payment,PetroStop,40.0,card
TXN-B-0117,2024-04-02,13:00:11,Routine payment,StreamFlix,10.0,UPI
TXN-B-0119,2024-04-05,18:01:05,Routine payment,MediCare,45.0,UPI
TXN-B-0118,2024-04-05,18:25:04,Routine payment,PetroStop,40.0,UPI
TXN-B-0121,2024-04-06,12:46:20,Routine payment,StreamFlix,20.0,UPI
TXN-B-0120,2024-04-06,14:29:21,Routine payment,Urban_Eats,31.28,UPI
TXN-B-0122,2024-04-10,10:10:48,Routine payment,FreshMart,28.55,UPI
TXN-B-0123,2024-04-11,09:17:28,Routine payment,MediCare,43.4,card
TXN-B-0124,2024-04-12,17:28:26,Routine payment,Urban_Eats,51.96,card
TXN-B-0125,2024-04-13,20:32:07,Routine payment,City_Power,71.62,card
TXN-B-0126,2024-04-14,09:18:43,Routine payment,Urban_Eats,28.46,card
TXN-B-0128,2024-04-14,17:03:00,Routine payment,Urban_Eats,50.15,UPI
TXN-B-0127,2024-04-14,18:19:02,Routine payment,PetroStop,67.45,UPI
TXN-B-0129,2024-04-15,11:49:08,Routine payment,StreamFlix,20.0,card
TXN-B-0130,2024-04-15,13:07:00,Routine payment,StreamFlix,20.0,card
TXN-B-0131,2024-04-16,14:11:08,Routine payment,MediCare,45.0,card
TXN-B-0132,2024-04-17,19:14:32,Routine payment,PetroStop,41.0,card
TXN-B-0134,2024-04-18,08:29:58,Routine payment,Urban_Eats,44.22,UPI
TXN-B-0133,2024-04-18,14:55:47,Routine payment,FreshMart,51.05,UPI
TXN-B-0135,2024-04-19,13:36:27,Routine payment,Property_Mgmt,51.7,card
TXN-B-0136,2024-04-19,18:26:18,Routine payment,MediCare,45.0,UPI
TXN-B-0137,2024-04-20,08:20:10,Routine payment,Urban_Eats,55.0,card
TXN-B-0138,2024-04-20,19:58:23,Routine payment,Property_Mgmt,50.0,UPI
TXN-B-0139,2024-04-22,10:15:33,Transfer to Apex Holdings,Apex_Holdings_LLC,314.56,netbanking
TXN-B-0140,2024-04-22,14:42:08,Transfer to Apex Holdings,Apex_Holdings_LLC,336.4,netbanking
TXN-B-0141,2024-04-23,09:05:51,Transfer to Apex Holdings,Apex_Holdings_LLC,435.37,netbanking
TXN-B-0142,2024-04-23,17:30:22,Transfer to Apex Holdings,Apex_Holdings_LLC,296.53,netbanking
TXN-B-0143,2024-04-25,11:00:00,Large wire transfer,Apex_Holdings_LLC,4850.0,netbanking
TXN-B-0144,2024-04-28,03:22:15,Late night transfer,Apex_Holdings_LLC,147.28,UPI
TXN-B-0145,2024-05-01,12:47:21,Routine payment,Property_Mgmt,50.0,UPI
TXN-B-0146,2024-05-02,20:10:04,Routine payment,StreamFlix,20.0,UPI
TXN-B-0147,2024-05-12,16:12:57,Routine payment,PetroStop,63.27,card
TXN-B-0149,2024-05-13,09:09:16,Routine payment,City_Power,40.67,UPI
TXN-B-0148,2024-05-13,19:52:41,Routine payment,StreamFlix,20.0,UPI
